sample_index,true,pred,lower_95,upper_95,abs_error
,MAE,0.7359 ± 0.1571,,,
,RMSE,1.0209 ± 0.2228,,,
,R2,0.5982 ± 0.1840,,,
44.0,0.0219178082191781,0.1954914949769362,0.020525088730887507,0.7510234806598042,0.17357368675775808
45.0,1.2575342465753399,0.9866319182467859,0.05441791504471159,1.539292189351757,0.270902328328554
46.0,1.01917808219178,0.6640819558909744,0.15641836629414335,1.2559011687942883,0.35509612630080556
47.0,3.3808219178082206,2.936316335637245,0.9933098219578406,5.502608487548574,0.4445055821709758
48.0,0.547945205479452,0.7046546189342267,0.18190858020205153,1.1878285046749955,0.15670941345477463
49.0,2.53424657534247,3.599696550470945,2.274453751187101,5.128758734794974,1.065449975128475
50.0,0.7342465753424658,0.6844104160123848,0.12555790309262707,1.0994299665041365,0.04983615933008101
51.0,1.1123287671232902,1.0868687611300367,0.5585777495505974,1.6598599822197322,0.025460005993253487
52.0,2.6246575342465803,1.655910477989854,0.08885974044098167,3.4209521277796737,0.9687470562567264
53.0,1.2712328767123302,0.8219322990551343,0.07760936089128326,1.5866143982893564,0.4493005776571959
54.0,1.03013698630137,0.8321967409532353,0.02676629043036911,2.5821574164768317,0.1979402453481348
55.0,0.9397260273972599,0.852714708194153,0.03243691632440062,1.902414200057435,0.0870113192031069
56.0,2.64383561643836,3.558820407376812,2.1841362722679922,4.738820005347564,0.9149847909384521
57.0,2.49315068493151,4.110928715081838,1.5810556053692244,5.634659314944578,1.6177780301503275
58.0,2.1698630136986297,1.4336283979302802,0.8793055959427327,2.5644972566394975,0.7362346157683495
59.0,0.0356164383561644,0.045882658468449015,0.007499420154081393,0.48564336478786246,0.010266220112284619
60.0,3.3342465753424704,2.9833409918900933,1.3398581470261781,5.133779596503361,0.3509055834523771
61.0,2.22191780821918,1.8919042611218235,0.03818720986295886,4.364267487269655,0.3300135470973564
62.0,2.4986301369863,1.6647889835099832,0.05983210829558994,3.8582823371644146,0.8338411534763168
63.0,0.07123287671232881,3.3211151599214417,0.6675146215847654,5.091320440803731,3.249882283209113
64.0,1.4191780821917799,1.0877945152076078,0.10343052552161842,1.93655215948879,0.33138356698417204
65.0,4.024657534246579,4.2833245724613365,2.929062902968773,5.754197875991414,0.25866703821475756
66.0,1.51506849315069,2.2026130048610018,0.337272594737716,4.030539373597191,0.6875445117103118
67.0,2.3178082191780804,2.0063703779315696,0.0700121731411023,3.924366272520957,0.31143784124651086
68.0,3.47123287671233,2.940714658980602,1.6286845696859256,4.4093851456695035,0.530518217731728
69.0,1.2109589041095898,1.0366285039172634,0.5640450149455767,1.3547904521881622,0.17433040019232648
70.0,1.70684931506849,1.3083785094701106,0.47393772650968174,2.224980526974717,0.39847080559837944
71.0,3.5013698630137005,1.7883028443878213,1.04448067594466,3.0306923862891817,1.7130670186258792
72.0,0.8849315068493149,2.576808169146938,1.473538866237971,4.65369931986492,1.6918766622976231
73.0,1.8,1.1053705674630898,0.0191780821917808,3.7533784668507866,0.6946294325369102
74.0,3.10684931506849,2.6497604012699303,1.0992116761291606,5.0450919735289705,0.45708891379855965
75.0,4.227397260273971,4.6809747967809425,3.0109589041095894,5.802982437302109,0.4535775365069714
76.0,1.97534246575342,2.2327013797829585,1.1265213139204169,4.0427360508190056,0.2573589140295385
77.0,0.0794520547945206,0.4983279112711515,0.05629412019692889,1.0669030663148238,0.4188758564766309
78.0,5.238356164383559,3.756975304538028,1.2263821923253575,5.139555331821384,1.481380859845531
79.0,1.3123287671232897,0.8294418287689804,0.0449217627494981,2.4187671023054085,0.4828869383543093
80.0,4.03287671232877,3.181427613981632,1.9163599469662491,5.087157913017081,0.8514490983471381
81.0,0.923287671232877,1.331244170527263,0.15947880377044785,2.2997120170663035,0.40795649929438604
82.0,1.4164383561643799,1.408716904244536,0.49310375176585985,2.483871014058915,0.007721451919843858
83.0,0.9972602739726032,1.01531545648347,0.42849787625620206,1.3505466774725945,0.018055182510866907
84.0,0.9863013698630139,1.110470865921108,0.03742203175102117,2.8635640800488433,0.12416949605809413
85.0,0.18082191780821907,0.8202747128944765,0.0446069576927684,1.654364637162311,0.6394527950862574
86.0,2.44109589041096,1.4555181325944344,0.03250573249986044,3.750147499332054,0.9855777578165255
87.0,1.8246575342465798,1.1368271010024076,0.32966537713752514,1.944995976887651,0.6878304332441723
88.0,3.61369863013699,3.3073548490636075,2.036833925893632,5.00094926964415,0.30634378107338245
89.0,0.12876712328767098,0.45228156586368534,0.01576837772471011,1.2720138259157836,0.32351444257601436
90.0,0.15068493150684903,0.7192165747654947,0.09345780608977448,1.2642403707635634,0.5685316432586457
91.0,1.0575342465753401,1.0246598993112646,0.29986060705527,1.5029711711932254,0.032874347264075565
92.0,1.2547945205479498,1.4916331474540607,0.021667468597686573,4.065323224647739,0.2368386269061109
93.0,1.4794520547945205,1.224145699311743,0.8946436432248668,2.0228478866887842,0.25530635548277747
94.0,4.268493150684929,3.452799826903939,0.38336113429515023,5.5766783036446474,0.81569332378099
95.0,0.0356164383561644,0.12980783620431108,0.020618394493626385,0.2816668690052694,0.09419139784814667
96.0,1.0328767123287703,2.566265492016024,1.0510085988708782,4.727825756199658,1.5333887796872536
97.0,3.0109589041095894,4.187245239418238,1.0285189947516906,5.379526288266574,1.1762863353086486
98.0,1.01643835616438,1.944649676916558,0.5380420584691642,3.6110499096326825,0.928211320752178
99.0,4.432876712328769,4.586291387295875,3.444404367339908,5.3894473734814206,0.15341467496710592
100.0,2.7506849315068496,2.781375339047544,0.08498397765937744,5.415893932542323,0.03069040754069441
101.0,1.8438356164383602,2.2223740594538888,1.1098428839483556,5.129431497038352,0.3785384430155285
102.0,3.0109589041095894,2.966265824388323,1.6498964809791559,4.673578491765073,0.04469307972126657
103.0,3.6383561643835596,4.667840475747444,3.6837957900863643,5.826185384587418,1.0294843113638845
104.0,0.838356164383562,0.8310260117170232,0.43056350676437727,1.1967619841359989,0.007330152666538803
105.0,4.56164383561644,4.7961528231098045,3.7067546564817224,5.370874860457329,0.23450898749336435
106.0,2.17260273972603,2.797617243873804,1.1305011208874025,5.024502052346126,0.6250145041477739
107.0,4.9013698630137,4.674246966028562,3.659367400651763,5.625651324858759,0.2271228969851382
108.0,1.9150684931506798,1.3567155370217463,0.9139622879313544,2.253880783173184,0.5583529561289335
109.0,1.0986301369863003,1.669597867230724,1.0261075201978627,3.7472342393159144,0.5709677302444236
110.0,1.0794520547945203,0.9941899952293636,0.4737307054211181,1.215249684823945,0.08526205956515676
