pair,sense_primer_coords,sense_primer_length,antisense_primer_coords,antisense_primer_length,product_coords_excl_primers,product_length_excl_primers,product_coords_incl_primers,product_length_incl_primers
INT-948,4140-4164,25,5066-5087,22,4165-5065,901,4140-5087,948
PR-576,2252-2276,25,2799-2827,29,2277-2798,522,2252-2827,576
RT-718,2613-2635,23,3303-3330,28,2636-3302,667,2613-3330,718
